1,1001,小物入れ,800,30,1111,2022-01-01 00:00:00
2,1002,ペンケース,1500,15,1111,2022-01-02 00:00:00
3,2001,チリ産赤ワイン,4000,10,2222,2022-02-01 00:00:00
4,2002,カナダ産メープルシロップ,1800,20,2222,2022-02-02 00:00:00
5,3001,りんご3個セット,600,50,3333,2022-03-01 00:00:00
6,3002,みかん8個セット,200,80,3333,2022-03-02 00:00:00
7,4001,ワイヤレスヘッドホン,12000,10,4444,2022-04-01 00:00:00
8,4002,コードレス掃除機,8000,15,4444,2022-04-02 00:00:00
9,5001,スチールラック3段,3300,5,5555,2022-05-01 00:00:00
10,5002,ステンレスハンガー10個セット,2000,20,5555,2022-05-02 00:00:00
